3layer,,GCG20,,GAG20,,GS,
X,Y,X,Y,X,Y,X,Y
1379.9354544053294,55.216665426916734,119.6721046833944,51.26981881940385,425.26842073474484,51.617466393921674,35407.951675607816,59.04202008394878
1525.0384602832598,54.58622071090802,128.11466758911794,50.47519579193453,459.4270015682059,50.8283615819209,39131.16945634474,58.50023165612879
1685.3993409027878,53.949208862440884,137.77756576842924,49.63542372881355,498.59007152446753,50.00163257354373,43245.891122135305,57.95187609585037
1862.622492673366,53.32861484511981,148.1692766823073,48.81371127995324,541.0915304808614,49.186943308007,47793.28409885663,57.41993836671802
2058.4810175340235,52.714587960257155,159.34477017439636,48.00554354178842,587.2159537050745,48.384293785310724,52818.844650535146,56.8945677700441
2274.9344626812576,52.113695340311345,171.36316212416978,47.20640561075394,637.2721745973735,47.59368400545489,58372.853065439405,56.36591360714095
2514.1484256651943,51.509519154136335,184.28802715680808,46.42532729398012,691.5953525336854,46.815113968439505,64510.87670591187,55.85039370915466
2778.516221001316,50.91847723287816,198.1877349388517,45.66230859146697,753.9679837848075,46.02169491525423,65099.91187752673,84.71622443015781
3070.6828250702156,50.32743531161999,214.1066497560229,44.848622637833614,825.7098611230967,45.18011689070718,71294.32595490757,55.32830667870994
3393.5713388720706,49.749527655278676,231.3042100405059,44.068547632963174,904.2781516177979,44.371046171829335,71945.29936696425,84.71622443015781
3750.412233393273,49.184754263854195,249.88311966689605,43.28345606857587,990.3224049923239,43.56558737580362,78791.06862143768,54.822637479411284
4144.775670182599,48.610130173742085,271.18397935298253,42.480806545879595,1084.5539771973802,42.7709643483343,79510.49320527524,84.71622443015781
4580.607220501295,48.048640348546826,294.30059443691675,41.686183518410274,1187.7519114230029,42.005236703682044,87076.10895198816,54.31368471388342
5062.267340414154,47.50356835449763,319.3877458859185,40.91563997662185,1306.6944094326875,41.199121194410495,87871.18248685767,84.71622443015781
5594.574996766326,46.95192922799001,349.77826243501454,40.13852930237499,1437.5479114969403,40.42321449444768,96232.33804136436,53.82114977950162
6182.855880519792,46.41014080017002,65099.91187752673,93.52931618936294,1538.9632639294314,39.978947983635294,97111.01516757213,84.71622443015781
6832.9956898198425,45.87491950480845,71945.29936696425,93.52931618936294,65099.91187752673,89.12277030976037,106351.36315075296,53.31876414643217
7551.499015883781,45.34626534190531,79510.49320527524,93.52931618936294,71945.29936696425,89.12277030976037,107322.43495513346,84.71622443015781
8345.554420860075,44.82746187768981,87871.18248685767,93.52931618936294,79510.49320527524,89.12277030976037,117534.42423025821,52.82951277827958
9223.10635875597,44.31194197970351,97111.01516757213,93.52931618936294,87871.18248685767,89.12277030976037,118607.60620021862,84.71622443015781
10192.93465899634,43.79642208171722,107322.43495513346,93.52931618936294,97111.01516757213,89.12277030976037,129893.4068156368,52.33697784389776
11264.742367839563,43.29732001487699,118607.60620021862,93.52931618936294,107322.43495513346,89.12277030976037,131079.43604174856,84.71622443015781
12449.25282649602,42.79493438180754,131079.43604174856,93.52931618936294,118607.60620021862,89.12277030976037,143551.96143317586,51.864144306891234
13758.316957207377,42.30568301365494,138426.52102261287,93.52931618936294,131079.43604174856,89.12277030976037,138426.52102261287,84.71622443015781
15205.031830673985,41.81643164550235,,,138426.52102261287,89.12277030976037,158646.7407122567,51.384743637426276
16803.871701087446,41.3370309760374,,,,,175328.76658281084,50.902059401732096
18570.83281976212,40.85763030657243,,,,,193764.94123635604,50.435792997183995
20523.593476212718,40.38479676956591,,,,,214139.71696763986,49.96952659263588
22374.546527227285,40.027708942139085,,,,,236656.9416035154,49.509827320546194
65099.91187752673,97.97198129748685,,,,,261541.89798239587,49.05341161468572
71945.29936696425,97.97198129748685,,,,,289043.5578891044,48.603563041283664
79510.49320527524,97.97198129748685,,,,,319437.07299553003,48.14714733542319
87871.18248685767,97.97198129748685,,,,,353026.52772874,47.70714946070877
97111.01516757213,97.97198129748685,,,,,390147.9816087424,47.26715158599436
107322.43495513346,97.97198129748685,,,,,431172.8314942266,46.830437277509155
118607.60620021862,97.97198129748685,,,,,476511.5273752396,46.40357366771159
131079.43604174856,97.97198129748685,,,,,526617.6788889901,45.96685935922639
138426.52102261287,97.97198129748685,,,,,581992.5936441016,45.55313001434567
,,,,,,643190.2927588363,45.12298283831889
,,,,,,710823.0537933244,44.70596992720896
,,,,,,785567.5365323285,44.29880771478667
,,,,,,868171.5529064741,43.901496201052005
,,,,,,959461.548784381,43.48776685617129
,,,,,,1060350.8724903977,43.08060464374899
,,,,,,1171848.9127736976,42.68000956378513
,,,,,,1295071.1976533371,42.2925487487381
,,,,,,1431250.555177282,41.91165506614951
,,,,,,1581749.4477578613,41.51762711864406
,,,,,,1748073.6034875403,41.12359917113861
,,,,,,1931887.0808151565,40.75912331969607
,,,,,,2135028.9173033144,40.37166250464905
,,,,,,2348832.549446259,40.04757451782582
