3layer,,GCG20,,GAG20,,GS,
X,Y,X,Y,X,Y,X,Y
9.055558386609793,98.7501864938101,6.863060173242285,98.80723845704267,16.733541433018914,98.73048509643483,135.91184950236416,98.79615642101908
9.872248380190253,97.8591087083577,7.12076964185842,97.96395480225989,17.50273202457598,97.84917592051433,148.84419072310433,98.04020650691604
10.616851107526621,97.0328813559322,7.414317647962773,97.10511981297488,18.3165268498485,96.96425482174168,162.26794174721448,97.2604324956166
11.417614620147656,96.22019871420223,7.688843389192742,96.29695207481006,19.168159311937398,96.09016949152543,177.70812889458801,96.44413793103449
12.278774779255574,95.41654587960258,7.973533839594374,95.47523962594974,20.05938868322361,95.20886031560491,194.61748719541936,95.63867913500877
13.204886930903697,94.61289304500292,8.26876536209845,94.67610169491526,20.992056033990124,94.33477498538866,213.1358118385581,94.83322033898305
14.20085000276573,93.8182700175336,8.574928255012876,93.89050847457628,21.96808803564021,93.46430157802455,233.41619986320805,94.03498538866161
15.271932418375513,93.03267679719463,8.892427268000004,93.1184599649328,22.98950094074742,92.62633547632964,255.62631586215917,93.24758620689656
16.423799965917905,92.26062828755114,9.22168213715874,92.32835184102865,24.058404748159234,91.77392168322619,279.9497781197502,92.4601870251315
17.74299902085627,91.43440093512567,9.601838572549989,91.51065263978181,25.17700756175845,90.9395675043834,306.58767664420685,91.69084745762713
19.255470663828522,90.56753945061368,9.917216670481041,90.76361526258663,26.347620151886503,90.10521332554062,335.76023564442755,90.92150789012274
20.802116309466484,89.7684015195792,10.331261557922915,89.93906487434249,27.572660728851552,89.2997545295149,367.7086341954637,90.15216832261835
22.37109147519247,89.00989772063122,10.806158591589018,89.04651860510424,28.854659938382262,88.46540035067213,402.69700014471334,89.40450029222677
24.16799126654744,88.21978959672707,11.211932301584696,88.26042372881356,30.19626608934672,87.66355347749854,443.0234241037654,88.61710111046172
26.228150398342844,87.38503409312293,11.632942906572062,87.48135203584648,31.717970854109463,86.82427394931194,487.38817084332203,87.83331385154881
28.334858425113506,86.61248392752776,12.161531630036707,86.65060977985584,33.22014614770756,86.00206896551725,536.195641480032,87.06397428404442
30.61078229984348,85.82789401909216,12.624573253269581,85.83592051431911,34.62457065899573,85.25239431131892,589.8907342061991,86.29824663939218
33.069513845811905,85.07290181180596,13.204886930903697,84.99073056691994,36.351073918767455,84.4699569629669,648.9628997017619,85.51741459008554
35.24195619937959,84.3068731735827,13.818852147167613,84.10580946814729,38.072674754700365,83.66154295733489,717.2026620394604,84.75234365867914
36.71331174929273,83.77712448860316,14.461363862069074,83.2172764465225,39.87581126809107,82.88071090802826,792.6179734972172,83.97085489612667
41.695381846957886,83.03410035902147,15.133749353706047,82.35402688486266,42.041340234694225,82.03355082089156,875.9633575875789,83.19921683226184
44.636885090779,82.18336353009936,15.837397612373579,81.49438924605494,44.03243427096757,81.25600233781415,968.0726774975121,82.40787737102173
48.222226896533066,81.43338788233002,16.573762209891044,80.6419754529515,46.11782728627327,80.46728972955741,1069.8674788157518,81.67235853567823
52.33284825520236,80.66685758815508,17.344364302339713,79.79678550555231,48.66253385167089,79.62341320864991,1182.3662095147963,80.89743690558419
56.79387250983502,79.90032729398013,18.15079577241345,78.9696551724138,51.39009953541816,78.74150204558738,1306.6944094326875,80.1652016364699
61.91591859415509,79.11413208649913,18.99472251787399,78.14252483927528,54.270546994328065,77.87163062536528,1444.0959711994115,79.4296828011264
67.49990458379429,78.32312098188194,19.877887892903935,77.32261835184103,57.31244534822646,77.05292811221508,1595.9455852725164,78.68759683332448
73.58749126676841,77.54294564582116,20.879610312177604,76.47775676106477,60.52484402150466,76.20713617767387,1763.762493593385,77.96192869666862
80.5895190526058,76.72665108123904,21.868476683711126,75.64307422559907,63.917299664493,75.35833430742255,1949.2256894683242,77.24611125870038
