windspeed, power
[m/s],[kW]
0.134483679,-2.672107893
0.453050561,-2.672107893
0.771617443,-2.672107893
1.090184325,-2.672107893
1.408751208,-2.672107893
1.72731809,-2.672107893
2.045884972,-2.672107893
2.364451854,-1.746912542
2.683018736,22.30816658
3.001585618,56.54039457
3.3201525,98.17418536
3.638719382,148.1347343
3.957286264,206.4220414
4.275853146,274.8864974
4.567872788,338.1698594
4.833345189,407.0043935
5.072270351,473.3409002
5.284648272,538.5671724
5.497026194,607.9568237
5.709404115,681.5098541
5.895234796,748.5865171
6.054518237,813.3501917
6.213801678,879.9642569
6.373085119,946.5783222
6.53236856,1015.042778
6.691652001,1090.908797
6.850935442,1170.475597
6.983671643,1238.014858
7.116407844,1311.10529
7.275691285,1399.924044
7.434974726,1488.742798
7.583639271,1566.089129
7.700447128,1643.250421
7.806636088,1709.864487
7.912825049,1786.655701
8.01901401,1855.582755
8.12520297,1933.299164
8.231391931,2011.015573
8.337580892,2088.731983
8.443769852,2166.448392
8.549958813,2251.103767
8.656147774,2339.922521
8.762336734,2428.741274
8.868525695,2517.560028
8.974714656,2606.378782
9.080903617,2704.912087
9.187092577,2803.445392
9.293281538,2899.20311
9.399470499,2997.736415
9.487961299,3070.826848
9.61184842,3157.795211
9.744584621,3233.66123
9.877320822,3309.527249
10.11624598,3370.590142
10.43481287,3372.440532
10.75337975,3372.440532
11.07194663,3372.440532
11.39051351,3372.440532
11.70908039,3372.440532
12.02764728,3372.440532
12.34621416,3372.440532
12.66478104,3372.440532
12.98334792,3372.440532
13.3019148,3372.440532
13.62048169,3372.440532
13.93904857,3372.440532
14.25761545,3372.440532
14.57618233,3372.440532
14.89474921,3372.440532
15.2133161,3372.440532
15.53188298,3372.440532
15.85044986,3372.440532
16.16901674,3372.440532
16.48758362,3372.440532
16.80615051,3372.440532
17.12471739,3372.440532
17.44328427,3372.440532
17.76185115,3372.440532
18.08041803,3372.440532
18.39898492,3372.440532
18.7175518,3372.440532
19.03611868,3372.440532
19.35468556,3372.440532
19.67325244,3372.440532
19.99181933,3372.440532
20.31038621,3372.440532
20.62895309,3372.440532
20.94751997,3372.440532
21.26608685,3372.440532
21.58465374,3372.440532
21.90322062,3372.440532
22.2217875,3372.440532
22.54035438,3372.440532
22.85892126,3372.440532
23.17748815,3372.440532
23.49605503,3372.440532
23.81462191,3372.440532
24.13318879,3372.440532
24.45175567,3372.440532
24.77032256,3372.440532
25.00924772,3346.535063
25.03579496,3272.519434
25.03579496,3205.905369
25.03579496,3139.291304
25.03579496,3072.677239
25.03579496,3008.838759
25.09773852,2928.346764
25.08888944,2845.079182
25.08888944,2778.465117
25.08888944,2711.851052
25.10216306,2629.971263
25.14198392,2550.867061
25.14198392,2484.252995
25.14198392,2417.63893
25.14198392,2351.024865
25.16853116,2273.308455
25.1950784,2195.592046
25.1950784,2128.977981
25.1950784,2062.363915
25.1950784,1995.74985
25.22162564,1918.033441
25.24817288,1840.317031
25.24817288,1773.702966
25.24817288,1707.088901
25.24817288,1640.474835
25.2614465,1558.595047
25.30126736,1485.042016
25.30126736,1418.427951
25.30126736,1351.813886
25.30126736,1285.199821
25.31454098,1200.544446
25.35436184,1124.21583
25.35436184,1057.601764
25.35436184,990.987699
25.35436184,924.3736338
25.36763546,842.4938452
25.40745632,763.3896427
25.40745632,696.7755774
25.40745632,630.1615122
25.40745632,563.5474469
25.43400356,485.8310374
25.4605508,408.1146279
25.4605508,341.5005627
25.4605508,274.8864974
25.4605508,208.2724321
25.48709804,130.5560226
25.5047962,38.03648755
25.67292872,-2.672107893
25.9914956,-2.672107893
26.31006249,-2.672107893
26.62862937,-2.672107893
26.94719625,-2.672107893
27.26576313,-2.672107893
27.58433001,-2.672107893
27.9028969,-2.672107893
28.22146378,-2.672107893
28.54003066,-2.672107893
28.85859754,-2.672107893
29.17716442,-2.672107893
29.49573131,-2.672107893
29.81429819,-2.672107893
30.13286507,-2.672107893
30.45143195,-2.672107893
30.76999884,-2.672107893
31.08856572,-2.672107893
31.4071326,-2.672107893
31.72569948,-2.672107893
32.04426636,-2.672107893
32.36283325,-2.672107893
32.68140013,-2.672107893
32.99996701,-2.672107893
33.31853389,-2.672107893
33.63710077,-2.672107893
33.95566766,-2.672107893
34.27423454,-2.672107893
34.59280142,-2.672107893
34.88482106,-2.672107893
