wind_speed,power,rotor_speed
3,42.73331211,5
3.54953237,292.5859809,5
4.067900771,607.966543,5
4.553906848,981.0976926,5
5.006427063,1401.98084,5
5.424415288,1858.67086,5
5.806905228,2337.575997,5
6.153012649,2824.097302,5
6.461937428,3303.06456,5
6.732965398,3759.432328,5
6.965470002,4178.637714,5
7.158913742,4547.19121,5.086085136
7.312849418,4855.342682,5.195449486
7.426921164,5091.537139,5.276492314
7.500865272,5248.453137,5.329026266
7.534510799,5320.793207,5.352929894
7.541241633,5335.345498,5.357711848
7.58833327,5437.90563,5.391168331
7.675676842,5631.253025,5.453221997
7.803070431,5920.980626,5.543729393
7.970219531,6315.115602,5.662481285
8.176737731,6824.470067,5.809203146
8.422147605,7462.846389,5.983555786
8.70588182,8238.359448,6.185136141
9.027284445,9167.96703,6.413478202
9.385612468,10285.211,6.668054091
9.780037514,11617.23699,6.948275286
10.20964776,13194.41511,7.253493977
10.65845809,15000,7.499245856
10.67345004,15000.00129,7.499245856
11.17037214,14999.97096,7.499245856
11.6992653,15000.00934,7.499245856
12.25890683,15000.00063,7.499245856
12.84800295,15000.00011,7.499245856
13.46519181,14999.94712,7.499245856
14.10904661,15000.08082,7.499245856
14.77807889,15000.05209,7.499245856
15.470742,15000.03592,7.499245856
16.18543466,15000.02562,7.499245856
16.92050464,15000.01835,7.499245856
17.67425264,15000.01281,7.499245856
18.44493615,15000.00835,7.499245856
19.23077353,15000.00488,7.499245856
20.02994808,15000.00233,7.499245856
20.8406123,15000.00066,7.499245856
21.66089211,14999.87148,7.499245856
22.4888912,15000.00047,7.499245856
23.32269542,15000.00194,7.499245856
24.1603772,15000.00417,7.499245856
25,15000.00688,7.499245856
25.01,0,0
45,0,0
