windspeed, power,rotorspeed
[m/s],[kW],[rpm]
0.134483679,-2.672107893,0
0.453050561,-2.672107893,0
0.771617443,-2.672107893,0
1.090184325,-2.672107893,0
1.408751208,-2.672107893,0
1.72731809,-2.672107893,0
2.045884972,-2.672107893,0
2.364451854,-1.746912542,0
2.683018736,22.30816658,3.8
3.001585618,56.54039457,4.140714286
3.3201525,98.17418536,4.481428572
3.638719382,148.1347343,4.822142858
3.957286264,206.4220414,5.162857143
4.275853146,274.8864974,5.503571429
4.567872788,338.1698594,5.815892858
4.833345189,407.0043935,6.099821429
5.072270351,473.3409002,6.355357144
5.284648272,538.5671724,6.582500001
5.497026194,607.9568237,6.809642859
5.709404115,681.5098541,7.036785715
5.895234796,748.5865171,7.235535715
6.054518237,813.3501917,7.405892858
6.213801678,879.9642569,7.576250001
6.373085119,946.5783222,7.746607144
6.53236856,1015.042778,7.916964287
6.691652001,1090.908797,8.08732143
6.850935442,1170.475597,8.257678573
6.983671643,1238.014858,8.399642859
7.116407844,1311.10529,8.541607145
7.275691285,1399.924044,8.711964288
7.434974726,1488.742798,8.882321431
7.583639271,1566.089129,9.041321431
7.700447128,1643.250421,9.166250002
7.806636088,1709.864487,9.27982143
7.912825049,1786.655701,9.393392859
8.01901401,1855.582755,9.506964288
8.12520297,1933.299164,9.620535716
8.231391931,2011.015573,9.734107145
8.337580892,2088.731983,9.847678574
8.443769852,2166.448392,9.961250002
8.549958813,2251.103767,10.07482143
8.656147774,2339.922521,10.18839286
8.762336734,2428.741274,10.30196429
8.868525695,2517.560028,10.41553572
8.974714656,2606.378782,10.52910715
9.080903617,2704.912087,10.64267857
9.187092577,2803.445392,10.75625
9.293281538,2899.20311,10.86982143
9.399470499,2997.736415,10.98339286
9.487961299,3070.826848,11.07803572
9.61184842,3157.795211,11.21053572
9.744584621,3233.66123,11.3525
9.877320822,3309.527249,11.49446429
10.11624598,3370.590142,11.75
10.43481287,3372.440532,11.75
10.75337975,3372.440532,11.75
11.07194663,3372.440532,11.75
11.39051351,3372.440532,11.75
11.70908039,3372.440532,11.75
12.02764728,3372.440532,11.75
12.34621416,3372.440532,11.75
12.66478104,3372.440532,11.75
12.98334792,3372.440532,11.75
13.3019148,3372.440532,11.75
13.62048169,3372.440532,11.75
13.93904857,3372.440532,11.75
14.25761545,3372.440532,11.75
14.57618233,3372.440532,11.75
14.89474921,3372.440532,11.75
15.2133161,3372.440532,11.75
15.53188298,3372.440532,11.75
15.85044986,3372.440532,11.75
16.16901674,3372.440532,11.75
16.48758362,3372.440532,11.75
16.80615051,3372.440532,11.75
17.12471739,3372.440532,11.75
17.44328427,3372.440532,11.75
17.76185115,3372.440532,11.75
18.08041803,3372.440532,11.75
18.39898492,3372.440532,11.75
18.7175518,3372.440532,11.75
19.03611868,3372.440532,11.75
19.35468556,3372.440532,11.75
19.67325244,3372.440532,11.75
19.99181933,3372.440532,11.75
20.31038621,3372.440532,11.75
20.62895309,3372.440532,11.75
20.94751997,3372.440532,11.75
21.26608685,3372.440532,11.75
21.58465374,3372.440532,11.75
21.90322062,3372.440532,11.75
22.2217875,3372.440532,11.75
22.54035438,3372.440532,11.75
22.85892126,3372.440532,11.75
23.17748815,3372.440532,11.75
23.49605503,3372.440532,11.75
23.81462191,3372.440532,11.75
24.13318879,3372.440532,11.75
24.45175567,3372.440532,11.75
24.77032256,3372.440532,11.75
25.00924772,3346.535063,0
25.03579496,3272.519434,0
25.03579496,3205.905369,0
25.03579496,3139.291304,0
25.03579496,3072.677239,0
25.03579496,3008.838759,0
25.09773852,2928.346764,0
25.08888944,2845.079182,0
25.08888944,2778.465117,0
25.08888944,2711.851052,0
25.10216306,2629.971263,0
25.14198392,2550.867061,0
25.14198392,2484.252995,0
25.14198392,2417.63893,0
25.14198392,2351.024865,0
25.16853116,2273.308455,0
25.1950784,2195.592046,0
25.1950784,2128.977981,0
25.1950784,2062.363915,0
25.1950784,1995.74985,0
25.22162564,1918.033441,0
25.24817288,1840.317031,0
25.24817288,1773.702966,0
25.24817288,1707.088901,0
25.24817288,1640.474835,0
25.2614465,1558.595047,0
25.30126736,1485.042016,0
25.30126736,1418.427951,0
25.30126736,1351.813886,0
25.30126736,1285.199821,0
25.31454098,1200.544446,0
25.35436184,1124.21583,0
25.35436184,1057.601764,0
25.35436184,990.987699,0
25.35436184,924.3736338,0
25.36763546,842.4938452,0
25.40745632,763.3896427,0
25.40745632,696.7755774,0
25.40745632,630.1615122,0
25.40745632,563.5474469,0
25.43400356,485.8310374,0
25.4605508,408.1146279,0
25.4605508,341.5005627,0
25.4605508,274.8864974,0
25.4605508,208.2724321,0
25.48709804,130.5560226,0
25.5047962,38.03648755,0
25.67292872,-2.672107893,0
25.9914956,-2.672107893,0
26.31006249,-2.672107893,0
26.62862937,-2.672107893,0
26.94719625,-2.672107893,0
27.26576313,-2.672107893,0
27.58433001,-2.672107893,0
27.9028969,-2.672107893,0
28.22146378,-2.672107893,0
28.54003066,-2.672107893,0
28.85859754,-2.672107893,0
29.17716442,-2.672107893,0
29.49573131,-2.672107893,0
29.81429819,-2.672107893,0
30.13286507,-2.672107893,0
30.45143195,-2.672107893,0
30.76999884,-2.672107893,0
31.08856572,-2.672107893,0
31.4071326,-2.672107893,0
31.72569948,-2.672107893,0
32.04426636,-2.672107893,0
32.36283325,-2.672107893,0
32.68140013,-2.672107893,0
32.99996701,-2.672107893,0
33.31853389,-2.672107893,0
33.63710077,-2.672107893,0
33.95566766,-2.672107893,0
34.27423454,-2.672107893,0
34.59280142,-2.672107893,0
34.88482106,-2.672107893,0
