time,wsp_150.0,power,price,Income
2018-11-01T23:00:00.000,10.990495,8.892251718956432,41.26,366.8943059241424
2018-11-02T00:00:00.000,9.588759,5.905371165458864,42.22,249.32477060567322
2018-11-02T01:00:00.000,9.191964,5.202174708857408,40.98,213.18511956897655
2018-11-02T02:00:00.000,8.65079,4.3363796497047264,40.8,176.92428970795282
2018-11-02T03:00:00.000,8.853423,4.648294466106263,40.55,188.48834060060895
2018-11-02T04:00:00.000,8.075383,3.5273566783359644,40.95,144.44525597785776
2018-11-02T05:00:00.000,7.564838,2.89973883761122,44.04,127.70449840839812
2018-11-02T06:00:00.000,6.331563,1.7001717144423347,46.76,79.50002936732356
2018-11-02T07:00:00.000,5.670401,1.2212408037623936,50.41,61.56274891766226
2018-11-02T08:00:00.000,6.362779,1.7254425597270282,54.97,94.84757750819473
2018-11-02T09:00:00.000,6.227005,1.617326238518713,49.89,80.68840603969859
2018-11-02T10:00:00.000,6.504666,1.843465410775698,47.48,87.52773770363014
2018-11-02T11:00:00.000,7.194033,2.493889840288373,46.96,117.113066899942
2018-11-02T12:00:00.000,7.194166,2.4940281605383134,45.26,112.87971454596406
2018-11-02T13:00:00.000,6.194649,1.592245754278818,45.78,72.89301063088429
2018-11-02T14:00:00.000,5.414063,1.0629917752187996,45.15,47.9940786511288
2018-11-02T15:00:00.000,4.930197,0.8026991596078855,44.94,36.07330023277837
2018-11-02T16:00:00.000,4.837997,0.7585020749682946,45.81,34.74698005429757
2018-11-02T17:00:00.000,4.936536,0.8057993532129697,49.3,39.725908113399406
2018-11-02T18:00:00.000,4.140124,0.4753352646393204,47.3,22.483358017439855
2018-11-02T19:00:00.000,3.73267,0.34835237661334717,44.89,15.637538186173154
2018-11-02T20:00:00.000,3.386166,0.26006668576461517,44.2,11.494947510795992
2018-11-02T21:00:00.000,2.79978,0.0,43.94,0.0
2018-11-02T22:00:00.000,2.92934,0.0,43.45,0.0
2018-11-02T23:00:00.000,2.478366,0.0,42.54,0.0
2018-11-03T00:00:00.000,2.151747,0.0,42.87,0.0
2018-11-03T01:00:00.000,3.067445,0.19332603433324747,42.15,8.14869234714638
2018-11-03T02:00:00.000,3.522251,0.29269876656466176,41.7,12.205538565746396
2018-11-03T03:00:00.000,4.223542,0.5046501897057014,41.64,21.013633899345407
2018-11-03T04:00:00.000,5.67764,1.2259239927124064,41.92,51.39073377450408
2018-11-03T05:00:00.000,7.039765,2.3368695765331045,42.85,100.13486135444353
2018-11-03T06:00:00.000,8.428148,4.010111506480824,50.01,200.545676439106
2018-11-03T07:00:00.000,9.483645,5.7132845573807485,55.84,319.029809684141
2018-11-03T08:00:00.000,10.585824,7.945733530887434,61.5,488.6626121495772
2018-11-03T09:00:00.000,9.888272,6.476214155799349,65.03,421.1482065516317
2018-11-03T10:00:00.000,7.701807,3.0601159551628676,63.36,193.8889469191193
2018-11-03T11:00:00.000,8.028633,3.4664489398540677,56.3,195.161075313784
2018-11-03T12:00:00.000,7.819073,3.2020329184965073,50.32,161.12629645874424
2018-11-03T13:00:00.000,7.094448,2.3917501973377147,48.02,114.85184447615707
2018-11-03T14:00:00.000,6.837255,2.1409440679930976,44.63,95.55033375453195
2018-11-03T15:00:00.000,7.201742,2.501915660744014,51.61,129.12386725099856
2018-11-03T16:00:00.000,7.973335,3.3953146171946154,59.07,200.56123443768593
2018-11-03T17:00:00.000,9.08588,5.02413128045216,69.58,349.5790544938613
2018-11-03T18:00:00.000,9.81388,6.331144399471951,62.24,394.05042742313424
2018-11-03T19:00:00.000,9.714344,6.140453181158783,54.45,334.3476757140958
2018-11-03T20:00:00.000,10.146062,6.996043876965905,44.58,311.88363603514
2018-11-03T21:00:00.000,10.414992,7.567227854806317,43.74,330.99054636922835
2018-11-03T22:00:00.000,12.302253,12.471363899159794,42.33,527.912833851434
2018-11-03T23:00:00.000,12.701528,13.725491299305439,41.44,568.7843594432173
2018-11-04T00:00:00.000,12.144963,11.999097359512296,42.44,509.24169193770183
2018-11-04T01:00:00.000,11.325068,9.729319023404324,42.06,409.2151581243859
